,co_code,company_name,listed,delisted,delist_date
236,11445,ALLSOFT CORPORATION LTD.,1,1,2018-05-11
237,11554,ALNA TRADING & EXPORTS LTD.,1,0,
238,11599,ALOK INDUSTRIES LTD.,1,0,
239,11654,ALORA TRADING CO. LTD.,1,0,
240,11659,AL AMEEN INTL. LTD.,1,1,2004-07-02
241,11664,ALPA LABORATORIES LTD.,1,0,
242,11736,ALPHA DRUG INDIA LTD. [MERGED],1,1,1999-11-03
243,11760,ALPHA GRAPHIC INDIA LTD.,1,0,
244,11764,ALPHA HI-TECH FUEL LTD.,1,0,
245,11853,ALPHAGEO (INDIA) LTD.,1,0,
246,11871,ALPIC FINANCE LTD.,1,1,2016-09-12
247,11885,ALPINE CAPITAL SERVICES LTD.,1,1,2018-07-04
248,11905,ALPINE HOUSING DEVP. CORPN. LTD.,1,0,
249,11907,ALPINE INDUSTRIES LTD.,1,1,2000-03-01
250,11955,ALPS INDUSTRIES LTD.,1,0,
251,11956,ALPS B P O SERVICES LTD.,1,1,2016-08-17
252,11960,ALPS LABORATORIES LTD.,1,1,2004-07-02
253,11961,ALPS MOTOR FINANCE LTD.,1,0,
254,11986,ALSA CONSTRUCTION & HOUSING LTD.,1,1,2001-08-17
255,11990,ALSA MARINE & HARVESTS LTD.,1,1,1997-10-15
256,12007,G E T & D INDIA LTD.,1,0,
257,12011,G E POWER INDIA LTD.,1,0,
258,12094,ALTOS INDIA LTD.,1,1,1999-07-21
259,12108,ALUFLUORIDE LTD.,1,0,
260,12131,ALUMINIUM INDUSTRIES LTD.,1,1,1997-02-17
261,12244,AMAJIN AGRO EXPORTS LTD.,1,1,1998-08-24
262,12258,AMAL LTD.,1,0,
263,12281,AMALGAMATED ELECTRICITY CO. LTD.,1,0,
264,12379,AMANI TRADING & EXPORTS LTD.,1,0,
265,12391,AMAR ALCOHOLI LTD.,1,1,2004-07-02
266,12419,AMAR DYE-CHEM LTD.,1,1,2002-10-21
267,12474,AMAR POLYESTER LTD.,1,1,2004-07-02
268,12482,AMAR REMEDIES LTD.,1,0,
269,12506,AMAR VANIJYA LTD.,1,1,2004-04-20
270,12517,AMARA RAJA BATTERIES LTD.,1,0,
271,12535,AMARAVATI AGRO LTD.,1,1,2002-07-03
272,12577,AMARJOTHI SPINNING MILLS LTD.,1,0,
273,12616,AMARNATH SECURITIES LTD.,1,0,
274,12627,AMARSHIV OPTICAL LTD.,1,1,2002-07-03
275,12709,AMBA ENTERPRISES LTD.,1,0,
276,12761,SCAN PROJECTS LTD.,1,0,
277,12774,AMBALAL SARABHAI ENTERPRISES LTD.,1,1,2002-01-19
278,12790,AMBANI ORGANICS LTD.,1,0,
279,12850,AMBE HOTEL & RESORTS LTD.,1,1,2004-04-20
280,12881,AMBER ENTERPRISES INDIA LTD.,1,0,
281,12933,AMBICA AGARBATHIES AROMA & INDS. LTD.,1,0,
282,13017,AMBIK PROTIENS LTD.,1,1,1996-04-02
283,13029,AMBIKA COTTON MILLS LTD.,1,0,
284,13058,A M S I L ENTERPRISES LTD.,1,1,2017-12-01
285,13096,AMBITIOUS PLASTOMAC CO. LTD.,1,0,
286,13123,AMBUJA AGRO INDS. LTD.,1,1,2004-04-20
287,13126,AMBUJA CEMENT EASTERN LTD. [MERGED],1,1,1998-01-07
288,13130,AMBUJA CEMENT RAJASTHAN LTD. [MERGED],1,1,2004-09-01
289,13134,AMBUJA ELECTROCASTINGS LTD.,1,1,1998-06-19
290,13138,AMBUJA FLOUR MILLS LTD.,1,1,2004-04-20
291,13152,AMBUJA SHIPYARD & SOFTWARE LTD. [MERGED],1,1,1999-09-01
292,13156,AMBUJA ZINC LTD.,1,1,2016-12-13
293,13188,AMCO INDIA LTD.,1,0,
294,13203,AMEE COSMO PHARMA LTD.,1,1,1996-04-02
295,13299,AMERICAN PAINTS (INDIA) LTD.,1,1,2004-04-20
296,13308,AMERICAN REMEDIES LTD. [MERGED],1,1,2001-08-20
297,13353,AMEX CARBONATES & CHEMICALS LTD.,1,1,2004-07-02
298,13356,TUTIS TECHNOLOGIES LTD.,1,1,2018-05-11
299,13398,AMFORGE INDUSTRIES LTD.,1,1,2001-06-13
300,13450,AMIGO EXPORTS LTD.,1,1,2002-07-03
301,13499,AMINES & PLASTICIZERS LTD.,1,0,
302,13501,AMINEX CHEMICALS LTD.,1,1,2002-10-21
303,13527,AMIRGADH CEMENTS LTD.,1,1,1995-06-05
304,13560,AMISON FOODS LTD.,1,1,2016-12-13
305,13572,AMIT ALCOHOL & CARBON DIOXIDE LTD. [MERGED],1,1,1997-09-23
306,13637,AMIT INTERNATIONAL LTD.,1,0,
307,13702,AMIT SECURITIES LTD.,1,0,
308,13711,AMIT SPINNING INDS. LTD.,1,0,
309,13976,AMPRO PRODUCTS LTD.,1,1,2004-07-02
310,13993,AMRAPALI CAPITAL & FINANCE SERVICES LTD.,1,0,
311,13995,AMRAPALI DEVELOPERS (INDIA) LTD. [MERGED],1,1,2010-02-04
312,14000,AMRAPALI INDUSTRIES LTD.,1,0,
313,14039,AMRIT CORP. LTD.,1,0,
314,14050,AMRIT BANASPATI CO. PVT. LTD.,1,1,2013-03-07
315,14087,AMRIT PROTEIN FOODS LTD. [MERGED],1,1,2002-07-03
316,14173,AMRUT CREDIT CORPN. (INDIA) LTD.,1,1,2004-07-02
317,14180,AMRUT INDUSTRIES LTD.,1,1,2002-10-21
318,14204,AMRUTANJAN HEALTH CARE LTD.,1,0,
319,14250,AMRADEEP INDUSTRIES LTD.,1,0,
320,14268,AMTEK AUTO LTD.,1,0,
321,14271,CASTEX TECHNOLOGIES LTD.,1,0,
322,14299,JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.,1,0,
323,14344,APOLLO PIPES LTD.,1,0,
324,14379,AMZEL LTD.,1,1,2005-07-04
325,14425,ANAGRAM FINANCE LTD. [MERGED],1,1,1999-05-20
326,14464,VIPUL LTD.,1,0,
327,14520,ANAN DRUG & CHEM LTD.,1,1,2004-07-02
